,radius,star_vc
0,0.01,7.225317634670119
1,0.1304417670682731,69.26068848316888
2,0.2508835341365462,89.36017823140743
3,0.37132530120481927,100.27168761757645
4,0.49176706827309236,107.96317786292764
5,0.6122088353413655,113.2017198397326
6,0.7326506024096385,117.61198268890152
7,0.8530923694779116,121.24629155646095
8,0.9735341365461847,124.51559464066453
9,1.0939759036144578,127.38058057101141
10,1.214417670682731,130.12059860161446
11,1.334859437751004,132.84997319566963
12,1.455301204819277,135.33856365830766
13,1.5757429718875502,137.5786265386191
14,1.6961847389558231,139.60645869807595
15,1.8166265060240963,141.4908750392357
16,1.9370682730923694,143.2861651497122
17,2.057510040160642,145.00089583871105
18,2.1779518072289155,146.61017278607014
19,2.2983935742971884,148.232500767066
20,2.4188353413654617,149.78005071717436
21,2.5392771084337347,151.25964443404564
22,2.6597188755020076,152.64919033237652
23,2.780160642570281,153.9034943566311
24,2.900602409638554,155.0532577827135
25,3.021044176706827,156.0717497414618
26,3.1414859437751,156.9606366573075
27,3.261927710843373,157.754251685387
28,3.382369477911646,158.415077987924
29,3.5028112449799194,158.9906058579304
30,3.6232530120481923,159.52122070184092
31,3.7436947791164656,159.96425781406106
32,3.8641365461847386,160.3282103880741
33,3.9845783132530115,160.6586039395239
34,4.105020080321284,160.9563022495116
35,4.225461847389558,161.19898475808898
36,4.345903614457831,161.40809020043875
37,4.466345381526104,161.58610366036822
38,4.586787148594377,161.74711563669698
39,4.70722891566265,161.87368621965203
40,4.827670682730924,161.97674398494163
41,4.948112449799196,162.06250151801137
42,5.0685542168674695,162.11687332034444
43,5.188995983935743,162.1532933384905
44,5.309437751004015,162.16230589506225
45,5.429879518072289,162.1615821370113
46,5.550321285140562,162.13367219631667
47,5.670763052208835,162.09542322663944
48,5.791204819277108,162.04338611693217
49,5.911646586345381,161.9721822428831
50,6.032088353413654,161.88143705348722
51,6.152530120481927,161.79030417031572
52,6.2729718875502005,161.68035211033762
53,6.393413654618473,161.56668003728308
54,6.513855421686746,161.42710604399213
55,6.63429718875502,161.28595094227794
56,6.754738955823292,161.13601520118362
57,6.875180722891566,160.97243027574584
58,6.995622489959839,160.80107482439084
59,7.116064257028112,160.62361260359893
60,7.236506024096385,160.42951806931288
61,7.356947791164658,160.2355862519503
62,7.4773895582329315,160.0243568691189
63,7.597831325301204,159.80727961283282
64,7.718273092369477,159.59210583055304
65,7.838714859437751,159.3561130766239
66,7.959156626506023,159.12376461452837
67,8.079598393574297,158.8821176029764
68,8.200040160642569,158.62628482353992
69,8.320481927710842,158.36354226957292
70,8.440923694779116,158.08886119604088
71,8.56136546184739,157.81784621033552
72,8.681807228915662,157.52539964862575
73,8.802248995983936,157.23639407333405
74,8.922690763052207,156.9287010862079
75,9.04313253012048,156.62078954284166
76,9.163574297188754,156.30639633180007
77,9.284016064257028,155.9843492318587
78,9.4044578313253,155.66082668041676
79,9.524899598393574,155.32613022292023
80,9.645341365461848,154.97837248752387
81,9.76578313253012,154.62234367633832
82,9.886224899598393,154.26410463511758
83,10.006666666666666,153.8912525811631
84,10.12710843373494,153.51736692187131
85,10.247550200803213,153.14046933490076
86,10.367991967871486,152.74963458503169
87,10.488433734939758,152.36366666098533
88,10.608875502008031,151.97341185127874
89,10.729317269076304,151.5825657776095
90,10.849759036144578,151.18514017206155
91,10.970200803212851,150.78715514121023
92,11.090642570281124,150.38474119477098
93,11.211084337349396,149.98446088630897
94,11.33152610441767,149.58008233329528
95,11.451967871485943,149.17619918907607
96,11.572409638554216,148.76576297086947
97,11.69285140562249,148.35702633677914
98,11.813293172690763,147.94885830351296
99,11.933734939759036,147.54039677984386
100,12.054176706827308,147.1309041467443
101,12.174618473895581,146.72183786186437
102,12.295060240963855,146.31200484299669
103,12.415502008032128,145.90401284077893
104,12.535943775100401,145.4938799651962
105,12.656385542168675,145.0829067083314
106,12.776827309236946,144.6712531377039
107,12.89726907630522,144.26050903322982
108,13.017710843373493,143.84900171403166
109,13.138152610441766,143.4394750809891
110,13.25859437751004,143.0296632444218
111,13.379036144578313,142.62055506174664
112,13.499477911646585,142.2132712449841
113,13.619919678714858,141.80441458013232
114,13.740361445783131,141.39618499097372
115,13.860803212851405,140.99117231440036
116,13.981244979919678,140.5891648983937
117,14.101686746987951,140.18971166031432
118,14.222128514056225,139.78913443625606
119,14.342570281124496,139.3890529422024
120,14.46301204819277,138.98973685525078
121,14.583453815261043,138.5923085117434
122,14.703895582329316,138.19203308090462
123,14.82433734939759,137.79834297802995
124,14.944779116465863,137.40216980665463
125,15.065220883534135,137.00982637795144
126,15.185662650602408,136.61823867131372
127,15.306104417670682,136.22623674317325
128,15.426546184738955,135.83506528404592
129,15.546987951807228,135.44684787286707
130,15.667429718875502,135.06117843772722
131,15.787871485943775,134.6768723738092
132,15.908313253012047,134.29221159378375
133,16.02875502008032,133.9105610767524
134,16.149196787148597,133.52991040437112
135,16.26963855421687,133.14834346740875
136,16.39008032128514,132.77399083622998
137,16.510522088353415,132.3968131453252
138,16.630963855421687,132.02097598319494
139,16.751405622489962,131.64980488074784
140,16.871847389558233,131.28017065475564
141,16.992289156626505,130.9114413066882
142,17.11273092369478,130.54556608833403
143,17.233172690763052,130.17956665013904
144,17.353614457831327,129.81368888993336
145,17.4740562248996,129.4530371958125
146,17.594497991967874,129.09313366015587
147,17.714939759036145,128.73423440415561
148,17.835381526104417,128.37785316790794
149,17.955823293172692,128.02416977799587
150,18.076265060240964,127.67111028445859
151,18.19670682730924,127.31935875621305
152,18.31714859437751,126.9707059279736
153,18.437590361445785,126.6230378141064
