,radius,halo_vc,dark_vc,total_vc
0,0.0,0.0,0.0,0.0
1,0.12048192771084337,25.881427893956836,12.351578443439754,28.67768818915731
2,0.24096385542168675,50.93241113298686,24.0227627122633,56.313440954618564
3,0.3614457831325301,73.07509048759695,37.10680689490766,81.9565980730438
4,0.4819277108433735,95.31763499836333,50.64626954928551,107.93746412131472
5,0.6024096385542168,116.03200268033642,62.99544579690179,132.02973845751566
6,0.7228915662650602,132.46212994366124,73.28496161671713,151.38329322740702
7,0.8433734939759037,144.59363258950592,81.48061433172126,165.9711092247796
8,0.963855421686747,153.31237871233208,87.99564830961701,176.7708109045816
9,1.0843373493975903,159.7065782982086,93.30923060571493,184.96703400323076
10,1.2048192771084336,164.67718063707537,97.83770729758896,191.54840326096337
11,1.3253012048192772,168.67693457395313,101.82132267249385,197.02662258700414
12,1.4457831325301205,171.94143368861006,105.40998426281104,201.6807412748693
13,1.5662650602409638,174.60317070800917,108.70339659305228,205.67619126227666
14,1.6867469879518073,176.73851443448493,111.76590010804284,209.11269428580763
15,1.8072289156626506,178.3933493755139,114.6373060542178,212.05164239114623
16,1.927710843373494,179.59723591355055,117.34247433108085,214.53303575423504
17,2.0481927710843375,180.37462353209693,119.90332783287805,216.5913498728523
18,2.1686746987951806,180.76908185945737,122.33828635564751,218.27532445227888
19,2.289156626506024,180.83451676047272,124.6620866249721,219.6400653197994
20,2.4096385542168672,180.62384110851153,126.88669555120306,220.7378659965175
21,2.5301204819277108,180.18636966857417,129.02196784445525,221.6163261151933
22,2.6506024096385543,179.56671956696093,131.0761257783622,222.31769503371663
23,2.7710843373493974,178.8045177769577,133.05611366020574,222.87885713949626
24,2.891566265060241,177.93453111669822,134.96786294148524,223.33163992303193
25,3.0120481927710845,176.98700249486166,136.81649283274635,223.70326721612517
26,3.1325301204819276,175.9880725386366,138.60648299387233,224.01687169451108
27,3.253012048192771,174.96022029724057,140.341917734594,224.29206976592485
28,3.3734939759036147,173.92268805341448,142.0265180929918,224.5453924295581
29,3.4939759036144578,172.89187325209724,143.66364558187595,224.79066461598026
30,3.6144578313253013,171.88165939246466,145.25634695638655,225.03935470628548
31,3.7349397590361444,170.90285990640925,146.80739243994,225.30023967853273
32,3.855421686746988,169.9628217929361,148.3193083349281,225.57920563910324
33,3.9759036144578315,169.06658546355692,149.79440495157368,225.88022063718248
34,4.096385542168675,168.2174196980632,151.23480062282243,226.20580277547967
35,4.216867469879518,167.41720281764762,152.6424424367923,226.5573548405675
36,4.337349397590361,166.6667253647056,154.01912420672798,226.93542686236034
37,4.457831325301205,165.96593139962988,155.36650210742206,227.33992250029962
38,4.578313253012048,165.31411147595426,156.68610833294343,227.770261442549
39,4.698795180722891,164.71005734435815,157.97936307010383,228.22550722129517
40,4.8192771084337345,164.15218617711352,159.2475850327902,228.7044677427651
41,4.9397590361445785,163.638640395776,160.49200076196252,229.2057742273433
42,5.0602409638554215,163.16736788237594,161.71375286303768,229.72794302546268
43,5.180722891566265,162.7361863542701,162.91390196252743,230.26942003181344
44,5.301204819277109,162.34283490963855,164.09337801214048,230.82857872008262
45,5.421686746987952,161.9850151488997,165.2529864073767,231.4037481315847
46,5.542168674698795,161.66042380604756,166.39344198404348,231.99325455807576
47,5.662650602409639,161.3667784525211,167.5153807213868,232.59544270336895
48,5.783132530120482,161.1018375417777,168.61936965452287,233.20869169485508
49,5.903614457831325,160.86341582796024,169.70591549057386,233.83142711007227
50,6.024096385542169,160.64939600378867,170.77547210964005,234.4621298006408
51,6.144578313253012,160.45773725105693,171.82844710433412,235.0993421471361
52,6.265060240963855,160.28648127416773,172.86520748870834,235.74167225878477
53,6.385542168674699,160.13375628705936,173.88608468820956,236.38779653526638
54,6.506024096385542,159.99777934205866,174.89137890615697,237.03646092972082
55,6.626506024096385,159.8768268507327,175.88136294861997,237.68646069249158
56,6.746987951807229,159.7690223473841,176.85628557805563,238.33649794000434
57,6.867469879518072,159.6724903059706,177.81637445629138,238.98528654561628
58,6.9879518072289155,159.58548304417468,178.76183872913083,239.63163686012402
59,7.108433734939759,159.50637630916157,179.6928712977738,240.27445157260925
60,7.228915662650603,159.43366370165387,180.6096508161879,240.91272089550893
61,7.349397590361446,159.36595097178937,181.51234344838494,241.54551776687396
62,7.469879518072289,159.30195027543192,182.4011044151037,242.17199312349427
63,7.590361445783133,159.24047446116037,183.2760793555766,242.79137128523962
64,7.710843373493976,159.18043144291016,184.13740552675856,243.4029454802816
65,7.831325301204819,159.12081870065032,184.98521285955258,244.00607353231845
66,7.951807228915663,159.06071794111256,185.81962488910432,244.6001737241198
67,8.072289156626505,158.9992899420805,186.64075957410824,245.1847208463159
68,8.19277108433735,158.9357695967937,187.44873001821767,245.75924243610402
69,8.313253012048193,158.8694611693624,188.24364510504552,246.3233152072249
70,8.433734939759036,158.7997337675172,189.0256100568441,246.8765616699901
71,8.55421686746988,158.72601703534232,189.79472692576041,247.41864693819613
72,8.674698795180722,158.64779706572233,190.55110590280492,247.94928407758832
73,8.795180722891565,158.56461252993128,191.29489766136615,248.46825595644967
74,8.91566265060241,158.47605102001202,192.02626349318865,248.9753895830931
75,9.036144578313253,158.3817455982342,192.7453653780677,249.47054578340223
76,9.156626506024097,158.28137154691433,193.45236582312074,249.95361653981902
77,9.27710843373494,158.17464331116028,194.14742770416532,250.42452250280297
78,9.397590361445783,158.0613116266156,194.83071411067195,250.88321066584044
79,9.518072289156626,157.94116082398284,195.5023881954172,251.32965219515745
80,9.638554216867469,157.81400630195935,196.16261302968013,251.76384040546193
